setsize,orient_1,orient_2,position_1,position_2,contrast,test,testorient,correctresp,subject,resp,respRT,conf,confRT
1,354,,1,,0.5,1,354,1,2,1,2.65900182723999,3,1.55105090141296
1,10,,2,,0.5,3,NaN,5,2,5,1.31310701370239,3,0.55305004119873
2,82,20,1,3,0.5,2,NaN,5,2,1,2.04327797889709,1,0.679387807846069
1,94,,2,,0.8,3,NaN,5,2,2,0.721935033798218,2,0.45234489440918
1,6,,1,,0.5,4,NaN,5,2,5,1.26181292533875,2,0.470249891281128
2,86,344,3,4,0.8,2,NaN,5,2,5,1.2559130191803,3,0.43616795539856
2,68,102,3,4,0.5,4,102,3,2,5,2.99301910400391,2,1.59834980964661
2,76,342,2,3,0.5,2,76,2,2,2,1.72851204872131,3,0.476672887802124
2,80,94,2,3,0.8,3,94,3,2,2,2.63875293731689,3,1.19074106216431
2,78,80,3,4,0.8,1,NaN,5,2,5,1.56481885910034,3,1.6047511100769
1,70,,4,,0.8,2,NaN,5,2,5,1.28681421279907,2,0.750768184661865
2,344,22,2,3,0.5,1,NaN,5,2,5,1.31712794303894,2,0.765376091003418
1,70,,2,,0.5,4,NaN,5,2,5,1.51923799514771,3,0.951301097869873
2,98,74,1,2,0.8,2,74,2,2,5,1.96559906005859,2,1.36572003364563
2,356,80,1,4,0.8,3,NaN,5,2,5,1.41546392440796,3,0.943524122238159
2,338,352,1,2,0.5,3,NaN,5,2,3,1.36574387550354,3,1.38975691795349
1,98,,1,,0.8,3,NaN,5,2,3,1.12007904052734,3,0.503793954849243
1,4,,1,,0.8,1,4,4,2,5,2.84637498855591,NaN,0
1,108,,4,,0.5,4,108,3,2,3,2.64819097518921,3,1.10407185554504
2,350,22,3,4,0.5,4,22,4,2,2,2.51869297027588,2,0.798564910888672
2,80,20,1,3,0.8,2,NaN,5,2,3,1.66453886032104,2,1.32086396217346
2,96,86,1,3,0.5,3,86,2,2,5,2.98826384544373,2,1.28708910942078
1,350,,3,,0.8,3,350,1,2,3,2.23291802406311,1,0.512855052947998
2,354,344,1,4,0.5,1,354,1,2,1,1.8790910243988,3,0.847126007080078
1,20,,2,,0.8,1,NaN,5,2,5,1.64936399459839,1,1.25705289840698
1,20,,4,,0.8,3,NaN,5,2,5,1.43936014175415,3,0.407364845275879
2,112,68,1,2,0.5,3,NaN,5,2,5,0.88933801651001,3,0.929780006408691
1,74,,1,,0.5,1,74,2,2,5,2.41892385482788,2,1.09765100479126
2,84,12,2,4,0.8,4,12,4,2,4,2.65932393074036,3,1.63139700889587
2,14,348,1,4,0.8,3,NaN,5,2,5,1.32929301261902,3,0.473453998565674
2,108,22,3,4,0.8,2,NaN,5,2,1,2.39549803733826,1,0.455955028533936
1,340,,3,,0.5,4,NaN,5,2,5,0,3,0.449770927429199
1,344,,1,,0.8,1,344,1,2,1,2.46775698661804,3,0.86401104927063
2,68,338,1,2,0.8,3,NaN,5,2,5,1.1222779750824,3,0.410126209259033
2,340,22,2,3,0.8,2,340,1,2,4,2.15618491172791,3,0.584357023239136
1,108,,3,,0.5,3,108,3,2,2,2.57031893730164,2,1.18632698059082
2,12,74,1,3,0.8,1,12,4,2,4,2.30848097801208,3,0.576709985733032
2,94,356,2,3,0.5,2,94,3,2,2,2.7226288318634,2,1.3546199798584
2,352,78,3,4,0.5,4,78,2,2,2,2.38077402114868,3,0.777001142501831
1,100,,3,,0.8,2,NaN,5,2,5,1.14709901809692,2,0.483191013336182
1,354,,4,,0.5,1,NaN,5,2,5,1.22523999214172,2,0.497332096099854
2,346,112,2,3,0.5,2,346,1,2,1,2.65940093994141,2,0.795672178268433
2,84,356,1,2,0.5,1,84,2,2,5,2.83362078666687,2,0.873813152313232
1,342,,2,,0.5,2,342,1,2,1,2.60374188423157,2,1.28397083282471
1,342,,2,,0.8,2,342,1,2,1,2.45792603492737,2,1.49035286903381
2,82,352,1,3,0.5,1,82,2,2,2,2.4680449962616,3,0.668365955352783
2,110,16,2,3,0.8,4,NaN,5,2,5,1.44233512878418,3,0.554387092590332
